Year,Kind,Host city,Nations,Athletes,Events,Opening,Closing,Stadium,Men,Women,Sports,Disciplines
1896,Summer,"Athens, Greece",14,241,43,1896-04-06 00:00:00,1896-04-15 00:00:00,Panathenaic Stadium,241,0,9,
1900,Summer,"Paris, France",28,997,95,1900-05-14 00:00:00,1900-10-28 00:00:00,Vélodrome de Vincennes,975,22,19,
1904,Summer,"St. Louis, United States",12,651,95,1904-07-01 00:00:00,1904-11-23 00:00:00,Washington University in St. Louis Francis Field,645,6,16,17
1908,Summer,"London, United Kingdom",22,2008,110,1908-04-27 00:00:00,1908-10-31 00:00:00,White City Stadium,1971,37,22,24
1912,Summer,"Stockholm, Sweden",28,2406,102,1912-07-06 00:00:00,1912-07-22 00:00:00,Stockholms Olympiastadion,2359,47,14,18
1920,Summer,"Antwerp, Belgium",29,2626,156,1920-08-14 00:00:00,1920-09-12 00:00:00,Olympisch Stadion,2561,65,22,29
1924,Summer,"Paris, France",44,3089,126,1924-07-05 00:00:00,1924-07-27 00:00:00,Stade Olympique Yves-du-Manoir,2954,135,17,23
1928,Summer,"Amsterdam, Netherlands",46,2883,109,1928-07-28 00:00:00,1928-08-12 00:00:00,Olympisch Stadion,2606,277,14,20
1932,Summer,"Los Angeles, U.S.",37,1332,117,1932-07-30 00:00:00,1932-08-14 00:00:00,Los Angeles Memorial Coliseum,1206,126,14,20
1936,Summer,"Berlin, Nazi Germany",49,3963,129,1936-08-01 00:00:00,1936-08-16 00:00:00,Olympiastadion,3632,331,19,25
1948,Summer,"London, United Kingdom",59,4104,136,1948-07-29 00:00:00,1948-08-14 00:00:00,Wembley Stadium,3714,390,17,23
1952,Summer,"Helsinki, Finland",69,4955,149,1952-07-19 00:00:00,1952-08-03 00:00:00,Helsingin Olympiastadion,4436,519,17,23
1956,Summer,"Melbourne, Sweden",72,3314,151,1956-11-22 00:00:00,1956-12-08 00:00:00,Melbourne Cricket Ground,2938,376,17,23
1960,Summer,"Rome, Italy",83,5338,150,1960-08-25 00:00:00,1960-09-11 00:00:00,Stadio Olimpico,4727,611,17,23
1964,Summer,"Tokyo, Japan",93,5151,163,1964-10-10 00:00:00,1964-10-24 00:00:00,National Stadium,4473,678,19,25
1968,Summer,"Mexico City, Mexico",112,5516,172,1968-10-12 00:00:00,1968-10-27 00:00:00,Estadio Olímpico Universitario,4735,781,18,24
1972,Summer,"Munich, West Germany",121,7134,195,1972-08-26 00:00:00,1972-09-11 00:00:00,Olympiastadion,6075,1059,21,28
1976,Summer,"Montreal, Canada",92,6084,198,1976-07-17 00:00:00,1976-08-01 00:00:00,Olympic Stadium,4824,1260,21,27
1980,Summer,"Moscow, Soviet Union",80,5179,203,1980-07-19 00:00:00,1980-08-03 00:00:00,Grand Arena of the Central Lenin Stadium,4064,1115,21,27
